"dt_iso","temp","dew_point","feels_like","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","rain_1h","clouds_all"
"2020-01-01 23:00:00",5.16,5.16,4.13,2.33,7.97,1030,100,1.5,90,,20
"2020-01-02 00:00:00",4.92,4.19,2.01,1.72,10.95,1030,95,3.58,120,,0
"2020-01-02 01:00:00",4.73,3.39,1.27,1.72,9.63,1030,91,4.47,120,,0
"2020-01-02 02:00:00",4.32,2.98,0.76,2.8,4.87,1029,91,4.47,120,,0
"2020-01-02 03:00:00",4.34,3,0.78,2.8,9.29,1029,91,4.47,120,,0
"2020-01-02 04:00:00",3.77,2.44,0.93,2.8,7.97,1029,91,3.13,120,,20
"2020-01-02 05:00:00",4.02,2.69,0.39,1.69,8.52,1029,91,4.47,120,,75
"2020-01-02 06:00:00",3.07,1.9,-1.47,0.51,8.52,1029,92,5.81,120,,75
"2020-01-02 07:00:00",3.16,2.14,2.09,0.76,7.41,1030,93,1.34,359,,75
"2020-01-02 08:00:00",3.71,2.68,2.1,1.16,8.18,1030,93,1.79,136,,75
"2020-01-02 09:00:00",4.08,3.05,3.13,1.16,7.41,1031,93,1.34,127,,75
"2020-01-02 10:00:00",5.48,3.81,4.71,1.16,11.51,1032,89,1.34,359,,75
"2020-01-02 11:00:00",7.63,5.61,4.58,6.77,12.62,1031,87,5.1,120,,75
"2020-01-02 12:00:00",7.67,5.97,7.67,5.71,12.62,1031,89,0.89,87,,90
"2020-01-02 13:00:00",9.31,6.75,9.31,7.38,11.23,1031,84,0.89,134,,75
"2020-01-02 14:00:00",10.07,6.96,9.25,9.77,11.69,1030,81,3.6,130,,75
"2020-01-02 15:00:00",9.81,7.41,9.81,8.48,12.25,1030,85,0.45,159,,90
"2020-01-02 16:00:00",10.8,7.49,10.02,9.6,12.83,1030,80,0.45,131,,75
"2020-01-02 17:00:00",10.25,7.67,9.52,9.04,12.83,1030,84,0.45,139,,90
"2020-01-02 18:00:00",10.16,7.05,9.35,8.48,12.28,1030,81,0.45,162,,90
"2020-01-02 19:00:00",10.17,7.06,9.36,8.48,12.28,1030,81,0.89,116,,75
"2020-01-02 20:00:00",9.9,6.8,9.9,8.48,12.28,1031,81,0.89,146,,75
"2020-01-02 21:00:00",9.92,6.82,9.92,8.48,12.28,1031,81,0.45,162,,75
"2020-01-02 22:00:00",9.77,6.85,9.77,8.48,12.28,1031,82,0.89,189,,75
"2020-01-02 23:00:00",9.64,6.72,9.64,7.93,12.28,1032,82,0.89,162,,75
"2020-01-03 00:00:00",9.64,6.72,9.41,7.93,12.28,1032,82,1.34,152,,75
"2020-01-03 01:00:00",9.46,6.9,7.79,7.93,11.72,1031,84,3.13,130,,75
"2020-01-03 02:00:00",9.52,6.78,8.13,7.93,12.28,1031,83,2.68,140,,20
"2020-01-03 03:00:00",9.29,6.73,7.34,7.37,11.72,1031,84,3.58,130,,20
"2020-01-03 04:00:00",9.18,6.62,6.98,7.37,11.23,1031,84,4.02,130,,20
"2020-01-03 05:00:00",9.29,6.73,7.12,7.37,11.73,1031,84,4.02,130,,75
"2020-01-03 06:00:00",9.32,6.76,7.16,7.37,11.43,1031,84,4.02,130,,75
"2020-01-03 07:00:00",8.94,6.56,8.94,6.82,11.83,1032,85,0.89,92,,75
"2020-01-03 08:00:00",9,6.62,9,7.37,11.73,1033,85,0.89,359,,75
"2020-01-03 09:00:00",9.78,7.03,9.78,7.25,12.28,1033,83,0.89,183,,75
"2020-01-03 10:00:00",10.42,7.84,9.71,8.48,13.39,1034,84,0.89,184,,75
"2020-01-03 11:00:00",11.41,8.81,10.8,9.04,15.06,1034,84,0.89,152,,75
"2020-01-03 12:00:00",12.92,9.18,12.3,10.71,16.17,1034,78,0.45,110,,75
"2020-01-03 13:00:00",13.66,9.9,13.12,12.43,14.84,1033,78,0.45,177,,75
"2020-01-03 14:00:00",13.89,10.12,13.37,13.49,15.4,1033,78,0.45,176,,75
"2020-01-03 15:00:00",13.15,11.21,12.82,11.77,15.56,1033,88,4.47,190,,75
"2020-01-03 15:00:00",13.15,11.21,12.82,11.77,15.56,1033,88,4.47,190,,75
"2020-01-03 16:00:00",12.27,10.84,11.93,11.77,14.84,1033,91,0.89,188,0.25,75
"2020-01-03 16:00:00",12.27,10.84,11.93,11.77,14.84,1033,91,0.89,188,0.25,75
"2020-01-03 16:00:00",12.27,10.84,11.93,11.77,14.84,1033,91,0.89,188,0.25,75
"2020-01-03 17:00:00",11.98,11.2,11.71,11.51,14.84,1034,95,0.89,185,0.25,75
"2020-01-03 17:00:00",11.98,11.2,11.71,11.51,14.84,1034,95,0.89,185,0.25,75
"2020-01-03 17:00:00",11.98,11.2,11.71,11.51,14.84,1034,95,0.89,185,0.25,75
"2020-01-03 18:00:00",12,11.38,11.76,11.26,14.5,1034,96,0.45,359,0.38,75
"2020-01-03 18:00:00",12,11.38,11.76,11.26,14.5,1034,96,0.45,359,0.38,75
"2020-01-03 19:00:00",11.76,11.45,11.55,10.71,13.73,1034,98,2.24,140,0.25,75
"2020-01-03 20:00:00",11.56,11.26,11.33,10.71,13.36,1034,98,0.45,172,,75
"2020-01-03 21:00:00",11.71,11.4,11.5,10.61,13.94,1034,98,2.24,180,,90
"2020-01-03 22:00:00",11.63,11.32,11.41,10.61,13.18,1035,98,1,0,,90
"2020-01-03 23:00:00",11.6,11.3,11.37,10.01,12.83,1035,98,1.34,40,,75
"2020-01-04 00:00:00",11.63,11.32,11.41,9.45,13.39,1035,98,1.34,40,,75
"2020-01-04 01:00:00",11.61,11.31,11.39,8.89,13.39,1035,98,1,0,,75
"2020-01-04 02:00:00",11.48,11.48,11.29,8.34,12.83,1034,100,0,0,,75
"2020-01-04 03:00:00",10.71,10.71,10.45,8.34,12.28,1034,100,1.5,20,,75
"2020-01-04 04:00:00",10.42,10.42,10.13,7.78,11.51,1034,100,0.89,40,,75
"2020-01-04 05:00:00",10.29,10.29,9.99,7.23,11.51,1034,100,0,0,,75
"2020-01-04 06:00:00",9.18,9.18,8.89,6.14,10.95,1034,100,1.34,100,,75
"2020-01-04 07:00:00",8.24,8.24,6.32,4.51,10.4,1034,100,3.13,100,0.25,90
"2020-01-04 08:00:00",7.61,7.61,5.58,4.51,10.19,1034,100,3.1,90,,1
"2020-01-04 09:00:00",8.18,7.88,8.18,5.03,10.74,1035,98,0.89,77,,1
"2020-01-04 10:00:00",9.76,9.15,9.55,6.72,11.86,1035,96,1.34,54,,20
"2020-01-04 11:00:00",11.54,9.11,10.97,10.51,12.83,1035,85,1.34,4,,40
"2020-01-04 12:00:00",12.85,8.92,12.2,11.36,15.06,1035,77,1.34,91,0.25,20
"2020-01-04 13:00:00",13.36,8.63,12.66,11.36,15.03,1034,73,0.89,89,,0
"2020-01-04 14:00:00",13.89,7.65,13.06,12.27,15.58,1033,66,3.58,100,,0
"2020-01-04 15:00:00",13.56,8.2,12.8,11.82,16.17,1032,70,0.45,162,,20
"2020-01-04 16:00:00",12.14,7.45,11.32,10.71,14.56,1033,73,1.79,56,,20
"2020-01-04 17:00:00",11.33,5.86,10.32,9.08,12.43,1033,69,1.79,97,,0
"2020-01-04 18:00:00",9.69,5.09,9.47,7.83,10.58,1033,73,1.34,70,,0
"2020-01-04 19:00:00",9.6,5,9.37,8.48,11.17,1033,73,1.34,219,,0
"2020-01-04 20:00:00",9.04,4.85,7.3,8.18,10.61,1033,75,3.1,80,,0
"2020-01-04 21:00:00",8.11,3.95,7.49,7.77,10.03,1033,75,1.5,60,,0
"2020-01-04 22:00:00",7.43,4.39,6.4,5.77,10.03,1033,81,1.79,30,,0
"2020-01-04 23:00:00",7.49,4.09,6.98,5.83,9.47,1033,79,1.34,67,,0
"2020-01-05 00:00:00",7.51,4.29,7.51,5.43,8.52,1033,80,0.45,158,,0
"2020-01-05 01:00:00",7.3,3.36,6.77,5.43,8.52,1032,76,1.34,135,,0
"2020-01-05 02:00:00",6.84,2.72,6.84,3.91,8.18,1032,75,0.5,0,,0
"2020-01-05 03:00:00",6.26,3.07,5.59,1.72,8.52,1031,80,1.34,50,,0
"2020-01-05 04:00:00",5.68,2.68,4.72,1.16,8.52,1031,81,1.5,50,,0
"2020-01-05 05:00:00",5.58,2.58,3.13,0.61,8.52,1031,81,3.1,100,,0
"2020-01-05 06:00:00",3.57,1.45,1.6,0.05,8.52,1031,86,2.1,60,,0
"2020-01-05 07:00:00",3.8,0.84,2.58,0.05,8.52,1031,81,1.5,80,,0
"2020-01-05 08:00:00",4.05,1.09,0.94,-0.51,8.52,1031,81,3.6,110,,0
"2020-01-05 09:00:00",5.78,2.95,4.5,2.25,8.52,1031,82,1.79,105,,0
"2020-01-05 10:00:00",7.36,3.04,6.32,2.36,9.08,1031,74,1.79,198,,0
"2020-01-05 11:00:00",9.62,4.83,8.93,8.94,10.01,1031,72,1.79,163,,0
"2020-01-05 12:00:00",10.85,5.6,9.82,10.16,11.76,1031,70,1.79,158,,0
"2020-01-05 13:00:00",11.8,5.44,10.73,11.27,13.36,1030,65,0.45,72,,0
"2020-01-05 14:00:00",12.69,5.61,11.63,10.61,14.47,1029,62,0.89,43,,0
"2020-01-05 15:00:00",12.59,5.28,11.5,10.61,15.61,1028,61,0.45,201,,0
"2020-01-05 16:00:00",12.49,5.87,11.47,10.05,15.58,1028,64,0.89,187,,0
"2020-01-05 17:00:00",10.79,6.54,9.88,9.77,12.83,1028,75,2.24,290,,0
"2020-01-05 18:00:00",9.3,5.67,9.3,7.23,11.17,1029,78,0.45,124,,0
"2020-01-05 19:00:00",7.92,5.56,7.92,6.73,9.5,1029,85,0.89,191,,0
"2020-01-05 20:00:00",6.81,4.8,4.97,5.05,8.52,1029,87,2.6,90,,0
"2020-01-05 21:00:00",6.88,3.85,6.88,4.23,8.52,1029,81,0.89,134,,0
"2020-01-05 22:00:00",6.36,3.52,6.36,4.43,7.06,1029,82,0.89,151,,0
"2020-01-05 23:00:00",6.72,2.61,4.86,4.47,7.41,1028,75,2.6,110,,0
"2020-01-06 00:00:00",5.82,2.82,4.88,3.91,6.86,1029,81,1.5,70,,0
"2020-01-06 01:00:00",4.8,2.5,4.8,3.36,5.95,1029,85,0.89,80,,0
"2020-01-06 02:00:00",5.72,2.72,2.43,5.06,6.51,1028,81,4.6,120,,0
"2020-01-06 03:00:00",4.7,2.56,2.07,2.25,5.95,1028,86,3.1,110,,0
"2020-01-06 04:00:00",3.79,1.67,0.95,2.25,5.74,1029,86,3.13,110,,0
"2020-01-06 05:00:00",4.65,1.5,1.1,1.14,5.95,1029,80,4.6,110,,0
"2020-01-06 06:00:00",2.19,0.1,-0.59,-0.51,5.95,1029,86,2.68,80,,0
"2020-01-06 07:00:00",2.23,0.29,-1.83,-0.49,5.95,1029,87,4.47,110,,0
"2020-01-06 08:00:00",2.57,0.79,2.57,-0.49,6.3,1030,88,0.89,118,,0
"2020-01-06 09:00:00",2.86,0.26,-1.93,0.16,4.87,1030,83,6.26,120,,0
"2020-01-06 10:00:00",6.42,2.32,3.3,3.91,8.18,1031,75,4.6,110,,0
"2020-01-06 11:00:00",8.03,4.43,7.59,7.43,8.94,1031,78,1.34,115,,0
"2020-01-06 12:00:00",8.65,4.47,8.65,7.94,10.61,1031,75,0.89,172,,0
"2020-01-06 13:00:00",9.48,5.65,9.48,8.96,13.18,1030,77,0.45,160,,0
"2020-01-06 14:00:00",10.84,6.2,9.89,9.59,13.94,1030,73,0.45,80,,0
"2020-01-06 15:00:00",10.91,6.27,9.96,8.94,12.25,1030,73,2.24,110,,0
"2020-01-06 16:00:00",11.41,7.14,10.56,10.05,13.18,1030,75,0.45,127,,0
"2020-01-06 17:00:00",10.53,6.67,9.65,9.59,11.69,1030,77,1.34,80,,0
"2020-01-06 18:00:00",8.59,5.87,8.04,6.72,11.51,1031,83,1.5,360,,0
"2020-01-06 19:00:00",7.74,5.72,7.27,6.77,9.5,1031,87,1.34,0,,1
"2020-01-06 20:00:00",6.46,6.02,5.61,3.94,10.4,1032,97,1.5,40,,20
"2020-01-06 21:00:00",6.18,4.66,6.18,3.94,7.41,1032,90,0.45,160,,1
"2020-01-06 22:00:00",5.21,4.17,5.21,3.38,6.3,1032,93,0.89,143,,1
"2020-01-06 23:00:00",5.3,3.64,2.46,2.83,5.87,1032,89,3.6,110,,1
"2020-01-07 00:00:00",5.23,3.57,5.23,1.72,7.62,1032,89,0.45,125,,0
"2020-01-07 01:00:00",4.42,3.08,0.88,2.25,4.87,1032,91,4.47,120,,0
"2020-01-07 02:00:00",4.68,2.54,1.14,1.14,7.62,1032,86,4.6,120,,0
"2020-01-07 03:00:00",4.28,2.63,4.28,0.05,7.06,1032,89,0.45,95,,0
"2020-01-07 04:00:00",3.49,1.85,1.02,0.05,3.87,1032,89,2.6,100,,0
"2020-01-07 05:00:00",4.14,2.49,2.97,0.58,6.51,1032,89,1.5,70,,0
"2020-01-07 06:00:00",2.87,1.24,2.87,-0.51,3.87,1032,89,0.45,110,,0
"2020-01-07 07:00:00",2.13,0.51,-1.73,-1.49,6.51,1032,89,4.1,110,,0
"2020-01-07 08:00:00",2.2,0.58,-1.87,-1.62,5.95,1032,89,4.47,120,,0
"2020-01-07 09:00:00",2.2,0.58,2.2,-1.62,6.3,1033,89,0.45,129,,0
"2020-01-07 10:00:00",4.95,1.79,4.95,-0.51,7.62,1033,80,0.45,104,,0
"2020-01-07 11:00:00",7.94,3.6,5.46,6.93,8.87,1033,74,4.02,110,,0
"2020-01-07 12:00:00",9.35,4.37,9.35,7.56,10.73,1033,71,0.45,177,,0
"2020-01-07 13:00:00",11.05,4.51,9.88,7.56,13.18,1033,64,0.45,35,,0
"2020-01-07 14:00:00",11.56,4.31,10.36,10.51,12.37,1032,61,0.45,164,,0
"2020-01-07 15:00:00",11.86,5.72,10.82,9.49,14.5,1032,66,0.45,125,,0
"2020-01-07 16:00:00",11.58,5.67,10.54,10.71,13.39,1032,67,0.45,161,,0
"2020-01-07 17:00:00",10.31,5.49,9.28,8.43,11.72,1032,72,0.45,161,,0
"2020-01-07 18:00:00",8.63,5.2,8.63,6.43,12.06,1032,79,0.45,158,,0
"2020-01-07 19:00:00",7.17,4.82,7.17,5.77,9.08,1033,85,0.45,167,,1
"2020-01-07 20:00:00",6.61,4.6,4.37,3.38,10.95,1033,87,3.1,120,,0
"2020-01-07 21:00:00",5.49,3.01,5.49,2.83,6.86,1033,84,0.89,128,,0
"2020-01-07 22:00:00",5.1,2.29,5.1,1.72,6.3,1033,82,0.89,125,,0
"2020-01-07 23:00:00",4.6,2.79,2.34,1.16,7.41,1032,88,2.6,90,,0
"2020-01-08 00:00:00",4.3,2.49,4.3,0.61,8.73,1032,88,0.45,102,,0
"2020-01-08 01:00:00",4.03,1.07,3.07,-0.51,8.18,1031,81,1.34,70,,0
"2020-01-08 02:00:00",3.52,1.56,1.39,-0.51,8.18,1031,87,2.24,110,,0
"2020-01-08 03:00:00",3.64,1.68,1.54,-1.06,7.62,1031,87,2.24,100,,75
"2020-01-08 04:00:00",3.68,1.72,-0.03,-1.62,8.73,1031,87,4.47,110,,75
"2020-01-08 05:00:00",3.47,1.35,-0.03,-1.62,7.62,1031,86,4.02,120,,75
"2020-01-08 06:00:00",2.44,-0.28,-1.57,-1.62,8.18,1031,82,4.47,120,,75
"2020-01-08 07:00:00",2.4,-0.02,1.23,-1.62,7.62,1031,84,1.34,173,,20
"2020-01-08 08:00:00",2.71,0.28,1.58,-1.62,8.18,1031,84,1.34,60,,20
"2020-01-08 09:00:00",3.46,0.34,2.42,-1.06,9.29,1032,80,1.34,179,,40
"2020-01-08 10:00:00",5.42,1.16,3.25,-0.51,10.4,1031,74,2.68,110,,20
"2020-01-08 11:00:00",9.42,2.29,8.07,8.51,12.62,1031,61,2.6,120,,40
"2020-01-08 12:00:00",10.95,3.96,9.72,9.47,12.93,1031,62,2.24,130,,75
"2020-01-08 13:00:00",12.4,5.1,11.29,8.38,14.59,1030,61,1.34,196,,75
"2020-01-08 14:00:00",13.01,6.59,12.06,11.51,14.04,1029,65,1.5,290,,75
"2020-01-08 15:00:00",12.57,6.61,11.63,10.61,15.61,1029,67,0.45,29,,75
"2020-01-08 16:00:00",12.33,7.63,11.52,10.61,14.08,1029,73,0,0,,75
"2020-01-08 17:00:00",12.27,7.37,11.43,10.51,13.73,1029,72,0,0,,75
"2020-01-08 18:00:00",11.57,7.68,10.79,10.51,12.83,1029,77,0.89,158,,90
"2020-01-08 19:00:00",11.27,7.58,10.49,10.51,12.83,1030,78,0.89,193,,90
"2020-01-08 20:00:00",10.94,7.99,10.23,10.15,12.83,1030,82,0.89,177,,90
"2020-01-08 20:00:00",10.94,7.99,10.23,10.15,12.83,1030,82,0.89,177,,90
"2020-01-08 21:00:00",10.13,8.07,9.47,9.59,12.41,1030,87,0.89,159,,90
"2020-01-08 21:00:00",10.13,8.07,9.47,9.59,12.41,1030,87,0.89,159,,90
"2020-01-08 22:00:00",9.73,8.33,9.73,8.49,12.28,1029,91,0.89,54,,90
"2020-01-08 23:00:00",9.75,8.03,9.75,8.48,12.28,1029,89,0.89,199,,90
"2020-01-09 00:00:00",9.67,7.78,9.67,7.27,12.28,1029,88,0.45,359,,90
"2020-01-09 01:00:00",9.82,8.42,8.49,8.48,12.33,1029,91,2.68,120,,90
"2020-01-09 02:00:00",9.25,8.02,8.13,6.72,12.73,1028,92,2.24,130,,90
"2020-01-09 03:00:00",9.47,7.75,8.07,7.27,12.83,1028,89,2.68,140,,90
"2020-01-09 04:00:00",9.53,7.48,8.15,6.72,13.23,1028,87,2.68,140,,90
"2020-01-09 05:00:00",9.47,7.75,8.07,6.72,12.93,1028,89,2.68,140,,90
"2020-01-09 06:00:00",9.53,8.46,7.42,6.72,12.93,1027,93,4.02,130,,90
"2020-01-09 07:00:00",9.23,8.63,9.23,8.48,12.62,1028,96,0.89,214,0.25,90
"2020-01-09 07:00:00",9.23,8.63,9.23,8.48,12.62,1028,96,0.89,214,0.25,90
"2020-01-09 08:00:00",9.23,8.78,9.23,8.48,13.23,1028,97,0.89,359,0.38,90
"2020-01-09 08:00:00",9.23,8.78,9.23,8.48,13.23,1028,97,0.89,359,0.38,90
"2020-01-09 09:00:00",9.64,9.34,9.64,8.34,12.28,1028,98,0.89,359,0.25,75
"2020-01-09 09:00:00",9.64,9.34,9.64,8.34,12.28,1028,98,0.89,359,0.25,75
"2020-01-09 10:00:00",10.66,10.36,10.34,8.89,14.29,1028,98,1.34,359,,75
"2020-01-09 11:00:00",11.84,11.53,11.64,10.15,14.29,1028,98,0.89,195,,75
"2020-01-09 11:00:00",11.84,11.53,11.64,10.15,14.29,1028,98,0.89,195,,75
"2020-01-09 12:00:00",12.48,12.17,12.34,11.26,14.29,1027,98,1.34,359,0.25,75
"2020-01-09 12:00:00",12.48,12.17,12.34,11.26,14.29,1027,98,1.34,359,0.25,75
"2020-01-09 13:00:00",12.79,12.48,12.68,11.82,16.17,1027,98,1.34,139,0.78,75
"2020-01-09 13:00:00",12.79,12.48,12.68,11.82,16.17,1027,98,1.34,139,0.78,75
"2020-01-09 14:00:00",12.62,12.31,12.5,11.38,15.83,1027,98,0.45,113,1.35,75
"2020-01-09 15:00:00",13.18,11.41,12.88,12.37,14.33,1027,89,1.79,204,0.1,40
"2020-01-09 16:00:00",12.67,10.39,12.24,11.93,14.47,1028,86,2.68,12,,40
"2020-01-09 17:00:00",11.82,9.38,11.28,11.26,13.36,1028,85,0.45,359,,20
"2020-01-09 18:00:00",10.73,8.66,10.13,9.77,12.25,1029,87,0.89,31,,40
"2020-01-09 19:00:00",10.41,8.68,9.83,9.59,11.53,1029,89,1.79,4,,40
"2020-01-09 20:00:00",9.3,7.08,9.03,7.77,11.72,1029,86,1.34,22,,40
"2020-01-09 21:00:00",9.04,6.66,9.04,8.27,11.17,1030,85,0.45,13,,40
"2020-01-09 22:00:00",8.55,6.34,8.55,7.77,10.61,1031,86,0.45,354,,40
"2020-01-09 23:00:00",8.08,5.88,8.08,6.77,9.84,1031,86,0.89,18,,75
"2020-01-10 00:00:00",7.76,5.57,6.58,6.69,9.84,1031,86,2,360,,40
"2020-01-10 01:00:00",6.5,5.3,6.5,3.94,7.97,1030,92,0,0,,40
"2020-01-10 02:00:00",6.29,4.93,6.29,5.47,7.97,1030,91,0.89,50,,40
"2020-01-10 03:00:00",5.75,4.71,5.75,3.38,7.41,1031,93,1,360,,20
"2020-01-10 04:00:00",5,4.42,3.37,2.83,6.86,1030,96,2,0,,20
"2020-01-10 05:00:00",4.62,3.89,2.05,2.27,8.73,1031,95,3,0,,20
"2020-01-10 06:00:00",3.98,3.25,1.28,2.16,6.86,1031,95,3,10,,20
"2020-01-10 07:00:00",4.1,3.22,4.1,1.51,6.3,1032,94,0.45,25,,0
"2020-01-10 08:00:00",3.82,2.94,3.82,1.51,6.86,1032,94,0.45,47,,3
"2020-01-10 09:00:00",4.38,3.2,4.38,1.72,7.41,1032,92,0.45,25,,0
"2020-01-10 10:00:00",6.63,5.58,6.01,2.27,10.4,1033,93,1.34,32,,0
"2020-01-10 11:00:00",9.51,6.77,9.27,7.8,10.95,1033,83,1.34,44,,0
"2020-01-10 12:00:00",10.99,6.93,10.13,10.27,12.23,1033,76,1.34,26,,0
"2020-01-10 13:00:00",11.88,6.38,10.93,10.56,13.48,1032,69,0.89,23,,0
"2020-01-10 14:00:00",12.8,6.17,11.81,11.72,13.93,1031,64,1.34,19,,0
"2020-01-10 15:00:00",12.43,6.48,11.48,11.82,13.91,1031,67,1.34,359,,0
"2020-01-10 16:00:00",12.62,6.66,11.69,11.67,13.94,1031,67,0.89,4,,0
"2020-01-10 17:00:00",11.35,6.29,10.39,10.51,13.39,1031,71,0.45,354,,0
"2020-01-10 18:00:00",10.19,6.15,9.25,8.43,11.72,1031,76,0.45,359,,40
"2020-01-10 19:00:00",9.56,6.1,9.32,7.73,10.95,1032,79,1.34,4,,0
"2020-01-10 20:00:00",9.08,6,9.08,6.77,10.95,1032,81,0.45,42,,0
"2020-01-10 21:00:00",8.27,5.73,8.27,6.77,9.84,1032,84,0.45,37,,20
"2020-01-10 22:00:00",7.91,5.38,7.91,5.58,9.63,1033,84,0.89,0,,0
"2020-01-10 23:00:00",7.36,5.34,4.76,3.38,9.63,1033,87,4,0,,0
"2020-01-11 00:00:00",6.25,4.57,5.37,2.27,9.45,1033,89,1.5,0,,0
"2020-01-11 01:00:00",5.65,4.3,2.66,1.16,9.45,1032,91,4,0,,9
"2020-01-11 02:00:00",5.49,3.01,3.09,1.16,9.29,1033,84,3,0,,0
"2020-01-11 03:00:00",5.4,3.08,1.84,0.61,9.29,1032,85,5,0,,0
"2020-01-11 04:00:00",5.21,3.06,2.12,0.05,9.29,1032,86,4,0,,0
"2020-01-11 05:00:00",5.69,2.69,2.2,0.05,8.73,1032,81,5,0,,0
"2020-01-11 06:00:00",4.48,1.85,2.66,-0.51,8.73,1032,83,2.1,0,,0
"2020-01-11 07:00:00",4.78,1.45,1.06,0.05,8.73,1032,79,5,0,,0
"2020-01-11 08:00:00",5.18,1.84,1.56,-0.51,9.08,1032,79,5,0,,0
"2020-01-11 09:00:00",6.03,1.75,4.78,-0.51,9.29,1033,74,1.79,56,,0
"2020-01-11 10:00:00",8.13,2.79,7.71,2.16,10.74,1033,69,1.34,33,,0
"2020-01-11 11:00:00",10.27,4.21,9.08,7.51,11.86,1033,66,0.89,154,,0
"2020-01-11 12:00:00",12.01,4.96,10.89,11.51,13.36,1032,62,1.34,123,,0
"2020-01-11 13:00:00",13.15,5.08,12.04,11.56,13.77,1031,58,0.89,61,,0
"2020-01-11 14:00:00",13.94,6.31,12.96,13.38,15.58,1031,60,2.6,290,,0
"2020-01-11 15:00:00",13.53,6.86,12.61,12.77,15.4,1031,64,0.45,170,,20
"2020-01-11 16:00:00",12.97,6.78,12.05,12.47,15.06,1031,66,0.45,173,,0
"2020-01-11 17:00:00",11.86,6.98,10.98,10.43,13.39,1031,72,2,0,,0
"2020-01-11 18:00:00",9.79,5.96,9.79,8.51,12.06,1032,77,0.45,13,,0
"2020-01-11 19:00:00",8.83,5.39,8.83,6.77,10.95,1032,79,0.89,354,,0
"2020-01-11 20:00:00",8.45,4.84,7.39,5.23,10.95,1032,78,2,0,,0
"2020-01-11 21:00:00",7.59,5.23,7.59,4.43,10.95,1032,85,0.45,359,,3
"2020-01-11 22:00:00",6.77,4.6,5.43,3.94,9.84,1033,86,2,0,,4
"2020-01-11 23:00:00",6.12,4.45,6.12,2.83,9.84,1032,89,0.45,164,,22
"2020-01-12 00:00:00",5.29,3.94,4.28,2.27,9.29,1032,91,1.5,0,,36
"2020-01-12 01:00:00",5.04,3.69,1.91,1.16,8.73,1031,91,4,0,,69
"2020-01-12 02:00:00",4.57,3.23,1.33,0.61,8.18,1031,91,4,0,,69
"2020-01-12 03:00:00",4.42,3.08,1.81,0.05,7.41,1032,91,3,0,,69
"2020-01-12 04:00:00",3.51,2.33,0.72,-0.51,7.06,1031,92,3,0,,70
"2020-01-12 05:00:00",3.27,2.4,0.43,-0.51,7.62,1031,94,3,0,,54
