"dt_iso","temp","dew_point","feels_like","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","rain_1h","clouds_all","weather_main","weather_description"
"2021-01-01 23:00:00",3.23,2.06,3.23,2.23,4.63,1018,92,0.45,338,,0,"Clear","sky is clear"
"2021-01-02 00:00:00",3.46,2.13,3.46,1.33,4.6,1018,91,0.45,33,,0,"Clear","sky is clear"
"2021-01-02 01:00:00",2.88,2.16,2.88,0.73,4.6,1018,95,0,0,0.25,0,"Rain","light rain"
"2021-01-02 02:00:00",2.85,2.13,2.85,0.43,4.6,1018,95,0.45,22,,0,"Clear","sky is clear"
"2021-01-02 03:00:00",2.43,1.27,2.43,0.83,3.49,1018,92,0,0,,0,"Clear","sky is clear"
"2021-01-02 04:00:00",1.84,0.83,1.84,0.83,2.97,1018,93,1,120,,0,"Clear","sky is clear"
"2021-01-02 05:00:00",0.96,0.96,0.96,-0.27,2.97,1018,100,0,0,,20,"Clouds","few clouds"
"2021-01-02 06:00:00",0.92,0.92,-0.71,-0.27,2.41,1018,100,1.5,120,,20,"Clouds","few clouds"
"2021-01-02 07:00:00",1.81,1.81,-1.41,-0.47,2.41,1018,100,3.1,100,,0,"Clear","sky is clear"
"2021-01-02 08:00:00",-0.08,-0.08,-4.09,-2.49,2.41,1018,100,3.6,110,,0,"Clear","sky is clear"
"2021-01-02 09:00:00",0.3,0.3,-1.41,-0.84,1.72,1019,100,1.5,90,,0,"Clear","sky is clear"
"2021-01-02 10:00:00",2.3,1.29,0.11,-0.84,5.58,1019,93,2.1,90,,0,"Clear","sky is clear"
"2021-01-02 11:00:00",6.02,3.86,5.11,3.93,6.53,1020,86,1.5,110,,0,"Clear","sky is clear"
"2021-01-02 12:00:00",8.07,5.01,7.45,6.86,8.56,1020,81,1.5,100,,0,"Clear","sky is clear"
"2021-01-02 13:00:00",8.13,5.93,6.2,6.73,9.53,1019,86,3.1,340,,0,"Clear","sky is clear"
"2021-01-02 14:00:00",9.02,5.58,7.26,7.97,9.53,1018,79,3.13,330,,20,"Clouds","few clouds"
"2021-01-02 15:00:00",8.79,5.17,6.98,7.93,9.87,1019,78,3.13,340,,20,"Clouds","few clouds"
"2021-01-02 16:00:00",8.97,5.16,7.48,8.48,9.87,1019,77,2.68,330,,20,"Clouds","few clouds"
"2021-01-02 17:00:00",8.05,5.17,6.72,7.41,8.91,1019,82,2.24,330,,20,"Clouds","few clouds"
"2021-01-02 18:00:00",6.57,4.4,6.57,5.77,7.78,1020,86,0.45,24,,0,"Clear","sky is clear"
"2021-01-02 19:00:00",5.91,3.92,5.91,4.77,7.23,1020,87,0.89,316,,0,"Clear","sky is clear"
"2021-01-02 20:00:00",4.91,3.41,4.06,3.77,6.17,1021,90,1.34,4,,0,"Clear","sky is clear"
"2021-01-02 21:00:00",4.31,2.66,3.39,3.43,5.74,1020,89,1.34,16,,0,"Clear","sky is clear"
"2021-01-02 22:00:00",3.97,2.79,3.97,2.83,5.01,1021,92,0.45,53,,0,"Clear","sky is clear"
"2021-01-02 23:00:00",3.08,1.91,1.99,1.16,5.16,1021,92,1.34,41,,0,"Clear","sky is clear"
"2021-01-03 00:00:00",3.1,1.47,3.1,1.16,5.16,1021,89,0.89,30,,0,"Clear","sky is clear"
"2021-01-03 01:00:00",2.44,0.97,2.44,0.61,3.52,1020,90,0,0,,0,"Clear","sky is clear"
"2021-01-03 02:00:00",0.81,0.81,-0.83,0.61,1.43,1020,100,1.5,80,,1,"Clear","sky is clear"
"2021-01-03 03:00:00",0.78,0.78,0.78,0.05,1.23,1020,100,0,0,,1,"Clear","sky is clear"
"2021-01-03 04:00:00",0.78,-0.19,0.78,0.05,1.23,1020,93,1,0,,1,"Clear","sky is clear"
"2021-01-03 05:00:00",-0.16,-0.16,-1.94,-0.23,0.33,1019,100,1.5,130,,1,"Clear","sky is clear"
"2021-01-03 06:00:00",-0.2,-0.2,-1.98,-0.51,0.03,1020,100,1.5,120,,1,"Clear","sky is clear"
"2021-01-03 07:00:00",-0.2,-0.2,-0.2,-0.53,-0.07,1020,100,1,0,,1,"Clear","sky is clear"
"2021-01-03 08:00:00",-0.44,-1.32,-4.89,-3.49,2.97,1020,93,4.1,120,,1,"Clear","sky is clear"
"2021-01-03 09:00:00",0.28,0.28,-1.44,-0.84,0.87,1020,100,1.5,0,,1,"Clear","sky is clear"
"2021-01-03 10:00:00",2.81,1.79,-0.89,2.51,4.63,1020,93,4.1,120,,0,"Clear","sky is clear"
"2021-01-03 11:00:00",6.38,3.36,4.88,4.23,9.47,1021,81,2.1,110,,75,"Clouds","broken clouds"
"2021-01-03 12:00:00",6.88,4.7,5.05,5.77,8.76,1020,86,2.6,130,,0,"Clear","sky is clear"
"2021-01-03 13:00:00",8.96,4.77,8.96,7.73,9.53,1019,75,0,0,,40,"Clouds","scattered clouds"
"2021-01-03 14:00:00",8.47,5.4,8.47,7.94,8.87,1018,81,0.45,41,,40,"Clouds","scattered clouds"
"2021-01-03 15:00:00",9.33,6.06,9.33,8.48,10.58,1018,80,0.45,14,,0,"Clear","sky is clear"
"2021-01-03 16:00:00",9.21,5.39,9.21,8.48,10.03,1017,77,0.45,12,,20,"Clouds","few clouds"
"2021-01-03 17:00:00",8.44,5.19,8.06,6.72,8.91,1017,80,1.34,280,0.1,40,"Rain","light rain"
"2021-01-03 18:00:00",6.84,4.33,6.84,4.51,7.94,1017,84,0,0,,75,"Clouds","broken clouds"
"2021-01-03 19:00:00",6.18,5.13,5.5,4.51,6.87,1017,93,1.34,50,0.51,75,"Rain","light rain"
"2021-01-03 20:00:00",6.1,5.66,6.1,5.71,6.83,1017,97,0,0,0.51,40,"Rain","light rain"
"2021-01-03 21:00:00",6.07,5.63,6.07,4.23,6.83,1017,97,0.89,359,0.25,75,"Rain","light intensity shower rain"
"2021-01-03 22:00:00",5.77,5.48,5.77,4.47,6.27,1017,98,0.45,108,1.14,75,"Rain","moderate rain"
"2021-01-03 23:00:00",5.57,5.28,5.57,3.83,5.87,1016,98,0.89,359,0.25,40,"Rain","light intensity shower rain"
"2021-01-04 00:00:00",5.14,4.56,5.14,4.47,5.72,1017,96,0.5,0,,75,"Fog","fog"
"2021-01-04 01:00:00",5.05,4.61,5.05,4.47,5.74,1016,97,0,0,,75,"Clouds","broken clouds"
"2021-01-04 02:00:00",4.42,3.99,4.42,2.73,5.19,1015,97,0.45,141,,40,"Mist","mist"
"2021-01-04 03:00:00",4.53,4.24,4.53,2.73,5.72,1015,98,0,0,,40,"Fog","fog"
"2021-01-04 04:00:00",4.41,3.98,4.41,3.52,5.72,1015,97,0.45,359,,75,"Clouds","broken clouds"
"2021-01-04 05:00:00",3.46,3.17,3.46,2.43,4.05,1015,98,0.45,121,,40,"Fog","fog"
"2021-01-04 06:00:00",3.57,3.28,3.57,2.41,4.05,1015,98,0.45,148,,75,"Clouds","broken clouds"
"2021-01-04 07:00:00",3.66,3.37,3.66,1.86,4.05,1015,98,0.45,359,0.25,40,"Rain","light rain"
"2021-01-04 08:00:00",2.87,2.59,2.87,1.51,3.49,1015,98,0.45,359,0.25,20,"Rain","light rain"
"2021-01-04 09:00:00",2.97,2.69,2.97,1.86,3.49,1015,98,0.89,127,,75,"Fog","fog"
"2021-01-04 10:00:00",3.99,3.7,3.99,2.23,4.87,1016,98,0.45,118,,75,"Fog","fog"
"2021-01-04 11:00:00",5.63,5.63,3.19,2.93,9.47,1015,100,3.1,120,,75,"Mist","mist"
"2021-01-04 12:00:00",6.73,5.83,6.73,4.83,8.53,1014,94,0.45,101,,40,"Clouds","scattered clouds"
"2021-01-04 13:00:00",7.15,6.4,7.15,5.62,10.01,1014,95,0.45,158,,20,"Clouds","few clouds"
"2021-01-04 14:00:00",7.85,5.66,7.39,5.61,10.56,1013,86,1.34,50,,20,"Clouds","few clouds"
"2021-01-04 15:00:00",8.48,5.05,8.48,7.37,9.45,1013,79,0.45,264,,75,"Clouds","broken clouds"
"2021-01-04 16:00:00",8.49,4.13,8.49,6.72,10.58,1013,74,0.45,10,,40,"Clouds","scattered clouds"
"2021-01-04 17:00:00",7.28,4.59,6.75,6.23,8.91,1013,83,1.34,4,,20,"Clouds","few clouds"
"2021-01-04 18:00:00",5.92,4.09,5.92,3.93,7.78,1013,88,0.89,4,,20,"Clouds","few clouds"
"2021-01-04 19:00:00",4.89,3.55,4.89,2.83,6.67,1013,91,0.45,33,,20,"Clouds","few clouds"
"2021-01-04 20:00:00",4.61,3.88,4.61,2.27,5.72,1013,95,0.89,14,,20,"Clouds","few clouds"
"2021-01-04 21:00:00",3.78,3.35,2.79,1.16,5.19,1013,97,1.34,50,,0,"Clear","sky is clear"
"2021-01-04 22:00:00",3.45,2.58,3.45,0.61,4.63,1014,94,0.5,0,,1,"Clear","sky is clear"
"2021-01-04 23:00:00",3.14,2.57,3.14,1.43,4.05,1014,96,0.45,184,,1,"Clear","sky is clear"
"2021-01-05 00:00:00",2,1.43,2,0.77,3.52,1014,96,1,0,,20,"Clouds","few clouds"
"2021-01-05 01:00:00",2.03,1.6,2.03,0.23,2.94,1013,97,0,0,,1,"Clear","sky is clear"
"2021-01-05 02:00:00",-0.09,-0.09,-1.86,-0.23,1.16,1014,100,1.5,20,,1,"Fog","fog"
"2021-01-05 03:00:00",0.78,0.78,0.78,-0.67,0.87,1014,100,0,0,,1,"Clear","sky is clear"
"2021-01-05 04:00:00",-0.18,-0.18,-1.96,-0.77,0.05,1013,100,1.5,70,,1,"Clear","sky is clear"
"2021-01-05 05:00:00",-1.13,-1.13,-1.13,-1.23,-0.51,1013,100,1,0,,1,"Clear","sky is clear"
"2021-01-05 06:00:00",-0.12,-0.74,-0.12,-1.09,0.06,1013,95,0.89,101,,0,"Clear","sky is clear"
"2021-01-05 07:00:00",-0.73,-1.22,-0.73,-1.23,0.06,1013,96,0.45,79,,0,"Clear","sky is clear"
"2021-01-05 08:00:00",-0.11,-1.38,-1.61,-1.09,0.06,1013,90,1.34,63,,0,"Clear","sky is clear"
"2021-01-05 09:00:00",0.23,-1.21,0.23,-1.47,0.87,1014,89,0.89,53,,20,"Clouds","few clouds"
"2021-01-05 10:00:00",2.01,-0.65,2.01,-1.24,2.94,1015,82,0.89,146,,20,"Clouds","few clouds"
"2021-01-05 11:00:00",5.19,1.49,5.19,3.95,5.87,1014,77,0.45,54,0.25,20,"Rain","light rain"
"2021-01-05 12:00:00",6.78,1.9,6.18,6.17,7.41,1013,71,1.34,166,,20,"Clouds","few clouds"
"2021-01-05 13:00:00",8.87,2.66,8.87,7.84,9.87,1012,65,0.45,200,,0,"Clear","sky is clear"
"2021-01-05 14:00:00",9.1,2.44,8.8,7.83,9.6,1012,63,1.34,350,,0,"Clear","sky is clear"
"2021-01-05 15:00:00",8.96,2.3,7.78,8.48,9.6,1011,63,2.24,310,,0,"Clear","sky is clear"
"2021-01-05 16:00:00",8.39,2.63,7.12,7.77,9.5,1011,67,2.24,290,,0,"Clear","sky is clear"
"2021-01-05 17:00:00",7.65,2.53,6.25,7.28,8.53,1011,70,2.24,290,,0,"Clear","sky is clear"
"2021-01-05 18:00:00",5.57,2.22,5.57,4.49,6.67,1012,79,0.45,317,,0,"Clear","sky is clear"
"2021-01-05 19:00:00",4.67,2.69,4.67,2.77,6.83,1012,87,0.45,35,,0,"Clear","sky is clear"
"2021-01-05 20:00:00",4.61,2.14,4.61,3.34,5.74,1012,84,0.89,70,,0,"Clear","sky is clear"
"2021-01-05 21:00:00",3.61,1.65,3.61,0.61,5.19,1012,87,0.45,144,,0,"Clear","sky is clear"
"2021-01-05 22:00:00",3.58,1.3,3.58,2.23,3.95,1012,85,0.89,146,,1,"Clear","sky is clear"
"2021-01-05 23:00:00",2.75,0.96,2.75,1.67,2.94,1012,88,0.45,120,,1,"Clear","sky is clear"
"2021-01-06 00:00:00",2.22,0.6,-1.27,-0.51,4.63,1012,89,3.58,100,,1,"Clear","sky is clear"
"2021-01-06 01:00:00",2.73,-0.03,1.6,1.12,4.63,1013,82,1.34,183,,1,"Clear","sky is clear"
"2021-01-06 02:00:00",2.52,-0.06,2.52,1.12,2.87,1013,83,0.89,154,,0,"Clear","sky is clear"
"2021-01-06 03:00:00",1.93,-0.72,0.69,1.12,2.28,1013,82,1.34,73,,0,"Clear","sky is clear"
"2021-01-06 04:00:00",1.76,-0.86,1.76,0.43,2.28,1013,82,0.89,181,,0,"Clear","sky is clear"
"2021-01-06 05:00:00",2.2,-0.78,2.2,-0.07,2.87,1013,80,0.89,107,,0,"Clear","sky is clear"
"2021-01-06 06:00:00",1.02,-0.93,-2.74,0.43,1.73,1013,86,3.58,110,,0,"Clear","sky is clear"
"2021-01-06 07:00:00",1.78,-0.7,1.78,0.43,1.87,1013,83,0.45,102,,0,"Clear","sky is clear"
"2021-01-06 08:00:00",1.15,-1.54,-0.19,-2.49,1.87,1014,81,1.34,153,,0,"Clear","sky is clear"
"2021-01-06 09:00:00",1.97,-0.98,0.09,-2.49,3.87,1014,80,1.79,141,,0,"Clear","sky is clear"
"2021-01-06 10:00:00",3.39,0.1,2.35,1.51,6.86,1015,79,1.34,187,,0,"Clear","sky is clear"
"2021-01-06 11:00:00",6.23,1.17,5.02,4.93,7.41,1015,70,1.79,58,,0,"Clear","sky is clear"
"2021-01-06 12:00:00",8.05,1.66,7.62,6.93,8.89,1014,64,1.34,109,,0,"Clear","sky is clear"
"2021-01-06 13:00:00",9.33,1.97,9.06,7.83,11.53,1013,60,1.34,354,,0,"Clear","sky is clear"
"2021-01-06 14:00:00",9.69,1.83,9.01,8.38,11.53,1012,58,1.79,34,,0,"Clear","sky is clear"
"2021-01-06 15:00:00",10.28,0.87,8.72,8.48,11.56,1012,52,0.89,20,,0,"Clear","sky is clear"
"2021-01-06 16:00:00",9.88,1.27,9.69,8.48,11.56,1012,55,1.34,21,,0,"Clear","sky is clear"
"2021-01-06 17:00:00",8.5,1.64,8.5,6.23,9.71,1012,62,0.45,102,,0,"Clear","sky is clear"
"2021-01-06 18:00:00",6.97,1.27,6.97,5.61,8.34,1012,67,0.45,170,,0,"Clear","sky is clear"
"2021-01-06 19:00:00",6.05,1.2,6.05,3.33,6.96,1013,71,0.45,32,,0,"Clear","sky is clear"
"2021-01-06 20:00:00",4.77,0.9,4.77,1.72,6.38,1013,76,0.45,56,,1,"Clear","sky is clear"
"2021-01-06 21:00:00",4.36,0.14,4.36,0.61,5.72,1013,74,0.89,359,,0,"Clear","sky is clear"
"2021-01-06 22:00:00",3.64,-0.01,3.64,0.05,5.72,1013,77,0.89,43,,0,"Clear","sky is clear"
"2021-01-06 23:00:00",4.13,-0.4,4.13,1.33,5.16,1013,72,0.45,15,,0,"Clear","sky is clear"
"2021-01-07 00:00:00",3.82,-0.84,3.82,1.43,4.6,1012,71,0.89,73,,0,"Clear","sky is clear"
"2021-01-07 01:00:00",3.67,-0.96,3.67,1.23,4.6,1012,71,0.89,48,,0,"Clear","sky is clear"
"2021-01-07 02:00:00",3.5,-1.11,3.5,0.83,4.05,1012,71,0.89,54,,0,"Clear","sky is clear"
"2021-01-07 03:00:00",3.67,-0.96,2.66,0.43,4.6,1012,71,1.34,40,,0,"Clear","sky is clear"
"2021-01-07 04:00:00",3.15,-0.91,3.15,2.37,3.87,1012,74,0.89,42,,0,"Clear","sky is clear"
"2021-01-07 05:00:00",2.93,-1.1,1.83,2.37,3.49,1012,74,1.34,45,,0,"Clear","sky is clear"
"2021-01-07 06:00:00",2.88,-0.82,1.77,1.82,3.49,1012,76,1.34,25,,0,"Clear","sky is clear"
"2021-01-07 07:00:00",2.45,-1.51,0.65,-0.47,4.45,1013,74,1.79,344,,0,"Clear","sky is clear"
"2021-01-07 08:00:00",2.35,-1.59,-0.78,1.26,4.45,1013,74,3.13,70,,0,"Clear","sky is clear"
"2021-01-07 09:00:00",2.83,-1.18,2.83,1.26,4.63,1014,74,0.45,90,,20,"Clouds","few clouds"
"2021-01-07 10:00:00",4.71,-0.43,4.71,2.43,6.86,1014,69,0.89,4,,20,"Clouds","few clouds"
"2021-01-07 11:00:00",6.68,0.14,6.68,4.13,8.34,1014,63,0.45,204,,20,"Clouds","few clouds"
"2021-01-07 12:00:00",8.35,0.34,8.35,7.38,9.45,1014,57,0.89,116,,20,"Clouds","few clouds"
"2021-01-07 13:00:00",8.88,0.34,8.56,7.93,9.59,1013,55,1.34,78,,0,"Clear","sky is clear"
"2021-01-07 14:00:00",9.45,-0.39,9.45,8.43,9.87,1012,50,0.89,25,,0,"Clear","sky is clear"
"2021-01-07 15:00:00",9.49,-0.12,9.49,8.48,10.27,1012,51,0.89,192,,0,"Clear","sky is clear"
"2021-01-07 16:00:00",9.7,0.06,9.02,8.33,10.82,1012,51,1.79,354,,0,"Clear","sky is clear"
"2021-01-07 17:00:00",8.26,1.19,7.85,6.77,9.53,1012,61,1.34,354,,0,"Clear","sky is clear"
"2021-01-07 18:00:00",6.3,1.44,6.3,3.93,7.78,1012,71,0.45,40,,0,"Clear","sky is clear"
"2021-01-07 19:00:00",5.78,1.13,4.05,2.83,6.83,1013,72,2.24,30,,0,"Clear","sky is clear"
"2021-01-07 20:00:00",4.75,0.33,4.75,3.43,6.27,1013,73,0.45,95,,0,"Clear","sky is clear"
"2021-01-07 21:00:00",3.67,-0.14,3.67,2.77,4.6,1013,76,0.89,25,,0,"Clear","sky is clear"
"2021-01-07 22:00:00",3.54,-0.25,3.54,2.43,4.6,1013,76,0.89,60,,0,"Clear","sky is clear"
"2021-01-07 23:00:00",4.01,-0.67,4.01,1.73,5.16,1014,71,0.89,68,,0,"Clear","sky is clear"
"2021-01-08 00:00:00",4.02,-1.36,3.06,2.93,4.71,1013,67,1.34,57,,0,"Clear","sky is clear"
"2021-01-08 01:00:00",3.67,-1.84,2.66,0.83,4.6,1013,66,1.34,52,,0,"Clear","sky is clear"
"2021-01-08 02:00:00",3.06,-2.36,3.06,0.33,4.05,1013,66,0.45,39,,0,"Clear","sky is clear"
"2021-01-08 03:00:00",3.17,-2.45,3.17,-0.27,3.87,1013,65,0.89,125,,0,"Clear","sky is clear"
"2021-01-08 04:00:00",2.57,-2.24,2.57,-0.17,2.94,1012,69,0.45,58,,0,"Clear","sky is clear"
"2021-01-08 05:00:00",2.36,-2.42,1.18,-0.47,3.52,1012,69,1.34,62,,0,"Clear","sky is clear"
"2021-01-08 06:00:00",2.23,-2.53,2.23,0.71,2.97,1012,69,0.89,62,,0,"Clear","sky is clear"
"2021-01-08 07:00:00",1.98,-2.74,1.98,-0.67,3.89,1012,69,0.89,99,,0,"Clear","sky is clear"
"2021-01-08 08:00:00",1.96,-2.42,1.96,1.26,2.97,1012,71,0.89,125,,0,"Clear","sky is clear"
"2021-01-08 09:00:00",2.08,-2.32,0.22,1.26,3.34,1013,71,1.79,54,,0,"Clear","sky is clear"
"2021-01-08 10:00:00",3.95,-1.42,1.9,2.13,5.56,1013,67,2.24,66,,0,"Clear","sky is clear"
"2021-01-08 11:00:00",5.72,-1.47,4.43,4.63,6.87,1013,59,1.79,76,,0,"Clear","sky is clear"
"2021-01-08 12:00:00",6.59,-1.16,4.05,6.27,6.87,1011,57,3.58,12,,0,"Clear","sky is clear"
"2021-01-08 13:00:00",7.95,-2.1,7,6.76,8.89,1010,48,1.79,4,,0,"Clear","sky is clear"
"2021-01-08 14:00:00",8.47,-2.45,6.11,6.93,9.15,1009,45,4.02,20,,0,"Clear","sky is clear"
"2021-01-08 15:00:00",8.62,-1.81,7.06,7.93,9.45,1008,47,2.68,34,,0,"Clear","sky is clear"
"2021-01-08 16:00:00",8.83,-1.64,7.63,7.93,9.71,1008,47,2.24,33,,0,"Clear","sky is clear"
"2021-01-08 17:00:00",7.57,0.08,7.07,6.77,8.04,1008,59,1.34,354,,0,"Clear","sky is clear"
"2021-01-08 18:00:00",5.5,-2.27,4.73,1.51,6.83,1008,56,1.34,347,,20,"Clouds","few clouds"
"2021-01-08 19:00:00",4.16,-2.97,2.62,1.51,5.56,1009,58,1.79,15,,20,"Clouds","few clouds"
"2021-01-08 20:00:00",4.34,-2.62,3.42,3.38,5.01,1009,59,1.34,33,,0,"Clear","sky is clear"
"2021-01-08 21:00:00",3.16,-2.27,1.47,0.61,5.01,1009,66,1.79,317,,0,"Clear","sky is clear"
"2021-01-08 22:00:00",2.83,-2.37,1.71,1.77,4.45,1009,67,1.34,4,,0,"Clear","sky is clear"
"2021-01-08 23:00:00",1.75,-2.11,-0.16,-1.06,3.89,1009,74,1.79,354,,0,"Clear","sky is clear"
"2021-01-09 00:00:00",1.86,-2.17,0.62,0.77,2.97,1009,73,1.34,15,,0,"Clear","sky is clear"
"2021-01-09 01:00:00",1.36,-2.44,-0.61,-0.23,2.97,1008,74,1.79,21,,0,"Clear","sky is clear"
"2021-01-09 02:00:00",0.83,-2.42,-1.22,-0.23,1.86,1008,77,1.79,17,,0,"Clear","sky is clear"
"2021-01-09 03:00:00",1.15,-2.78,-1.39,0.15,2.41,1008,73,2.24,4,,0,"Clear","sky is clear"
"2021-01-09 04:00:00",0.23,-2.78,-1.92,-0.41,1.86,1008,78,1.79,49,,0,"Clear","sky is clear"
"2021-01-09 05:00:00",0.06,-3.24,-1.42,-0.97,1.86,1007,76,1.34,359,,0,"Clear","sky is clear"
"2021-01-09 06:00:00",-0.83,-3.64,-4.19,-3.28,2.23,1007,79,2.68,341,,0,"Clear","sky is clear"
"2021-01-09 07:00:00",-0.5,-3.63,-0.5,-3.28,1.86,1007,77,0.89,13,,0,"Clear","sky is clear"
"2021-01-09 08:00:00",-1.27,-4.08,-3.65,-3.49,1.67,1008,79,1.79,4,,0,"Clear","sky is clear"
"2021-01-09 09:00:00",0.01,-3.44,-1.48,-1.49,1.67,1009,75,1.34,4,,0,"Clear","sky is clear"
"2021-01-09 10:00:00",2.44,-2.88,1.27,1.26,3.73,1009,66,1.34,354,,0,"Clear","sky is clear"
"2021-01-09 11:00:00",5.04,-2.87,3.18,3.51,6.12,1009,55,2.24,41,,0,"Clear","sky is clear"
"2021-01-09 12:00:00",5.74,-2.73,5.74,4.51,7.93,1008,53,0.89,58,,0,"Clear","sky is clear"
"2021-01-09 13:00:00",6.35,-2.01,6.35,4.56,8.73,1007,54,0.89,4,,0,"Clear","sky is clear"
"2021-01-09 14:00:00",7.48,-1.3,6.05,6.51,9.23,1007,53,2.24,334,,0,"Clear","sky is clear"
"2021-01-09 15:00:00",7.59,-0.76,5.53,6.86,7.87,1007,55,3.13,75,,0,"Clear","sky is clear"
"2021-01-09 16:00:00",7.6,-0.32,6.19,7.23,8.73,1007,57,2.24,4,,0,"Clear","sky is clear"
"2021-01-09 17:00:00",7.22,-0.01,5.74,6.51,7.93,1007,60,2.24,310,,0,"Clear","sky is clear"
"2021-01-09 18:00:00",6.47,-0.24,4.5,5.51,7.23,1007,62,2.68,10,,0,"Clear","sky is clear"
"2021-01-09 19:00:00",6.23,-0.44,3.89,5.51,7.23,1008,62,3.13,16,,0,"Clear","sky is clear"
"2021-01-09 20:00:00",5.56,-0.62,4.24,4.59,6.73,1008,64,1.79,359,,0,"Clear","sky is clear"
"2021-01-09 21:00:00",5.35,-0.61,3.54,4.59,6.83,1009,65,2.24,22,,0,"Clear","sky is clear"
"2021-01-09 22:00:00",5.35,-0.06,3.54,4.59,6.83,1009,68,2.24,359,,0,"Clear","sky is clear"
"2021-01-09 23:00:00",5.15,-0.06,3.31,4.59,6.73,1009,69,2.24,4,,0,"Clear","sky is clear"
"2021-01-10 00:00:00",4.92,-0.08,4.92,2.83,6.93,1010,70,0.89,25,,0,"Clear","sky is clear"
"2021-01-10 01:00:00",5.15,0.52,4.34,4.59,6.73,1010,72,1.34,8,,0,"Clear","sky is clear"
"2021-01-10 02:00:00",5.22,0.59,5.22,3.94,6.73,1010,72,0.89,23,,0,"Clear","sky is clear"
"2021-01-10 03:00:00",5.34,0.71,5.34,4.45,5.87,1011,72,0.89,62,,0,"Clear","sky is clear"
"2021-01-10 04:00:00",5.26,0.82,4.46,4.59,5.87,1012,73,1.34,359,,0,"Clear","sky is clear"
"2021-01-10 05:00:00",4.77,0.72,3.91,4.04,5.16,1012,75,1.34,21,,0,"Clear","sky is clear"
"2021-01-10 06:00:00",3.71,0.24,3.71,2.77,4.6,1012,78,0.89,18,,0,"Clear","sky is clear"
"2021-01-10 07:00:00",3.41,-0.05,2.37,2.77,4.05,1013,78,1.34,354,,0,"Clear","sky is clear"
"2021-01-10 08:00:00",2.98,-0.11,1.26,0.77,6.43,1014,80,1.79,45,,0,"Clear","sky is clear"
"2021-01-10 09:00:00",4.25,0.4,3.32,2.93,5.06,1015,76,1.34,359,,0,"Clear","sky is clear"
"2021-01-10 10:00:00",6.07,1.6,5.38,3.96,7.43,1016,73,1.34,4,,0,"Clear","sky is clear"
